restaurant name,restaurant type,rate,num of ratings,avg cost,online_order,table booking,cuisines type,area,local address,rating_category
#FeelTheROLL,Quick Bites,3.4,7,200.0,No,No,Fast Food,Bellandur,Bellandur,Average
#L-81 Cafe,Quick Bites,3.9,48,400.0,Yes,No,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",Hsr,Good
#refuel,Cafe,3.7,37,400.0,Yes,No,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road,Good
'@ Biryani Central,Casual Dining,2.7,135,550.0,Yes,No,"Biryani, Mughlai, Chinese",Marathahalli,Marathahalli,Poor
'@ The Bbq,Casual Dining,2.8,40,700.0,Yes,No,"Bbq, Continental, North Indian, Chinese, Beverages",Bellandur,Bellandur,Poor
'@99,"Takeaway, Delivery",3.4,37,200.0,No,No,"Mughlai, Biryani, Chinese, North Indian",Whitefield,Whitefield,Average
'@Italy,Casual Dining,4.1,305,700.0,Yes,No,Italian,Banashankari,Kumaraswamy Layout,Very nice
'@North Parontha Hut,"Takeaway, Delivery",2.8,40,300.0,No,No,North Indian,Indiranagar,Old Airport Road,Poor
1000 B.C,Quick Bites,3.2,49,300.0,Yes,No,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41,450.0,No,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Good
11 to 11 Express Biriyanis,Quick Bites,3.5,22,300.0,Yes,No,"Biryani, Kebab",Electronic City,Electronic City,Good
1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,1500.0,No,Yes,"Continental, Asian, Italian, North Indian",Old Airport Road,Indiranagar,Very nice
12th Main - Grand Mercure,Fine Dining,4.1,353,2000.0,No,Yes,"European, Asian","Byresandra,Tavarekere,Madiwala",Koramangala 3Rd Block,Very nice
1441 Pizzeria,Casual Dining,4.1,119,800.0,Yes,No,"Pizza, Salad",Basavanagudi,Jp Nagar,Very nice
1522 - The Pub,Pub,4.2,1731,1400.0,Yes,No,"Chinese, Continental, North Indian",Malleshwaram,Malleshwaram,Very nice
154 Breakfast Club,Cafe,4.0,1509,900.0,Yes,Yes,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 3Rd Block,Very nice
1722 Urban Bistro,Casual Dining,4.1,218,600.0,Yes,Yes,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Very nice
18+ Ice Cafe,Cafe,3.5,24,550.0,No,No,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli,Good
1947,Casual Dining,3.9,620,1000.0,No,Yes,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar,Good
1980s Games Cafe,Cafe,3.4,58,400.0,Yes,No,"Cafe, Fast Food",Banashankari,Basavanagudi,Average
1992 Chats - Space,Quick Bites,3.7,33,200.0,Yes,No,Street Food,Malleshwaram,Rajajinagar,Good
1Q1,"Casual Dining, Bar",4.3,595,2500.0,No,Yes,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road,Very nice
1TO3 Kitchen,Delivery,3.1,11,800.0,No,No,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli,Average
2 Statez,Casual Dining,3.7,209,600.0,Yes,No,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,Good
20 Char - Sterlings MAC Hotel,"Casual Dining, Bar",4.0,419,1400.0,Yes,Yes,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar,Old Airport Road,Very nice
20 Feet High,"Casual Dining, Bar",4.0,932,1000.0,Yes,Yes,"American, Continental, Steak, Salad",Brigade Road,Church Street,Very nice
21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,1000.0,No,No,Continental,Basavanagudi,Jayanagar,Good
24 Carats - The Capitol,Casual Dining,3.1,46,1000.0,No,No,"Asian, Continental",Brigade Road,Cunningham Road,Average
24 Hours Cake Delivery,Delivery,3.3,4,700.0,No,No,Bakery,Indiranagar,Old Airport Road,Average
24 Hours Coffee Drop - La Classic,Cafe,3.4,9,800.0,No,No,Cafe,Electronic City,Electronic City,Average
24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344,3000.0,No,Yes,"Continental, North Indian, Italian, Chinese",Malleshwaram,Seshadripuram,Very nice
24/7 Food Service,"Takeaway, Delivery",2.9,7,300.0,Yes,No,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",Jp Nagar,Poor
24@43 - The Oterra,Fine Dining,4.1,268,3000.0,No,Yes,"North Indian, Asian, Continental",Electronic City,Electronic City,Very nice
24th Main,Casual Dining,4.1,1234,800.0,No,Yes,"North Indian, South Indian, Chinese",Bannerghatta Road,Jp Nagar,Very nice
29 Degrees North,Quick Bites,3.9,283,250.0,Yes,No,"North Indian, Fast Food, Street Food",Kalyan Nagar,Banaswadi,Good
2nd Home Restaurant,Quick Bites,3.7,21,500.0,Yes,No,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Good
3 Leafs,Casual Dining,3.7,128,600.0,Yes,No,"North Indian, South Indian, Chinese",Marathahalli,Kaggadasapura,Good
3 Spice,Casual Dining,3.9,156,450.0,Yes,No,"North Indian, Chinese",Koramangala 7Th Block,Wilson Garden,Good
30 Square,Quick Bites,4.2,556,400.0,Yes,No,"Tibetan, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Very nice
360 Atoms Restaurant And Cafe,Cafe,3.1,13,400.0,Yes,No,"Cafe, Chinese, Continental, Italian",Banashankari,Banashankari,Average
36th Cross Coffee Mane,Casual Dining,3.7,29,500.0,No,No,"North Indian, Chinese",Jp Nagar,Btm,Good
37 China Town,Casual Dining,3.5,58,900.0,No,No,"Chinese, Thai, North Indian, South Indian, Continental",Lavelle Road,Race Course Road,Good
"3B's - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149,1100.0,No,Yes,"North Indian, Mediterranean, European, Bbq","Byresandra,Tavarekere,Madiwala",Btm,Very nice
3G's - Gulp & Groove,"Bar, Casual Dining",4.1,662,1100.0,Yes,Yes,"Finger Food, Continental, Chinese",Malleshwaram,Malleshwaram,Very nice
3rd Innings,"Casual Dining, Bar",3.0,17,1000.0,No,No,"Burger, Italian, North Indian, Chinese",Electronic City,Electronic City,Average
4 Mangoes,Kiosk,3.7,14,200.0,No,No,Ice Cream,Indiranagar,Old Airport Road,Good
4 Seasons Restaurant,Casual Dining,3.7,399,1000.0,Yes,Yes,"North Indian, Seafood, Middle Eastern, Chinese",Kalyan Nagar,Kalyan Nagar,Good
4 States,Food Court,3.2,4,400.0,No,No,South Indian,Sarjapur Road,Bellandur,Average
46 Ounces Brewgarden,Microbrewery,2.8,40,1600.0,No,Yes,"Bar Food, Finger Food, Pizza",Electronic City,Electronic City,Poor
4700BC Popcorn,"Takeaway, Delivery",4.1,55,500.0,No,No,Fast Food,Whitefield,Whitefield,Very nice
4Foodiez,Quick Bites,3.6,82,300.0,Yes,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,Good
4Foodiez - The Restaurant,Quick Bites,3.0,23,400.0,No,No,"Street Food, Chinese, North Indian, South Indian",Electronic City,Electronic City,Average
4K Biryani,Delivery,3.3,4,700.0,Yes,No,"North Indian, Chinese",Hsr,Hsr,Average
4th Tea Block,Cafe,4.0,62,150.0,No,No,Cafe,Basavanagudi,Jayanagar,Very nice
5 Star Food,Quick Bites,2.8,40,300.0,Yes,No,"South Indian, Fast Food",Frazer Town,Kammanahalli,Poor
50-50 EATING HOUSE,Quick Bites,3.2,4,100.0,No,No,"South Indian, Biryani",Banashankari,Basavanagudi,Average
52 Wall Street,"Bar, Casual Dining",3.9,737,1400.0,No,No,"American, Continental, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Good
55 Wall Street,Bar,3.9,1763,1300.0,No,Yes,"Finger Food, North Indian, Chinese",Bannerghatta Road,Jp Nagar,Good
56 Bhoga Sweets,"Takeaway, Delivery",3.6,51,150.0,No,No,"Mithai, Street Food",Hsr,Hsr,Good
5th Main Cafe,Cafe,3.5,15,250.0,No,No,"Cafe, Fast Food","Byresandra,Tavarekere,Madiwala",Hsr,Good
7 Days Restaurant,Quick Bites,3.8,478,400.0,Yes,No,"North Indian, Chinese, Arabian",Electronic City,Electronic City,Good
7 Degrees North,Casual Dining,3.5,11,500.0,No,No,North Indian,Hsr,Hsr,Good
7 Hills Andhra Mess,Mess,3.4,8,300.0,No,No,Andhra,Indiranagar,Cv Raman Nagar,Average
7 Plates,Casual Dining,3.5,531,600.0,Yes,No,"North Indian, Mughlai, Rolls, Fast Food",Kammanahalli,Kalyan Nagar,Good
7 Shanghai,Quick Bites,3.5,18,250.0,Yes,No,Chinese,Electronic City,Electronic City,Good
7 Spice,Quick Bites,3.4,5,250.0,No,No,"Biryani, Chinese",Kalyan Nagar,Banaswadi,Average
7 to 11 Food Court,Quick Bites,3.7,16,200.0,Yes,No,"Fast Food, Burger, North Indian, South Indian",Frazer Town,Banaswadi,Good
70 Brigade - Iris Hotel,Casual Dining,3.9,105,1000.0,No,Yes,"Chinese, North Indian, Pizza",Brigade Road,Brigade Road,Good
7Biryanis,Casual Dining,3.2,4,600.0,Yes,No,"Andhra, Biryani",Kalyan Nagar,Nagawara,Average
7th Heaven,Bakery,3.6,17,300.0,No,No,"Bakery, Desserts",New Bel Road,New Bel Road,Good
8 Slice,Delivery,3.7,74,600.0,Yes,No,Pizza,Brigade Road,Koramangala 6Th Block,Good
9 Bowls,Quick Bites,2.8,40,500.0,Yes,No,"Healthy Food, Continental, North Indian, Chinese",Hsr,Koramangala 1St Block,Poor
90's,Quick Bites,2.8,40,200.0,No,No,North Indian,Hsr,Hsr,Poor
90's Beer Cafe - Hotel Millennium Plaza,Bar,3.0,7,1000.0,No,No,Finger Food,Electronic City,Electronic City,Average
90's Cafe,Quick Bites,2.8,40,500.0,No,No,"Fast Food, Burger",Jayanagar,Jp Nagar,Poor
99 Caffe,Quick Bites,3.6,106,250.0,Yes,No,"South Indian, North Indian, Chinese",Brookefield,Brookefield,Good
99 Pancakes,Dessert Parlor,4.1,41,150.0,Yes,No,"Desserts, Ice Cream",Brigade Road,Church Street,Very nice
99 Variety Dosa & Pav Bhaji,Quick Bites,3.8,16,250.0,Yes,No,"South Indian, North Indian, Street Food",Koramangala 5Th Block,Koramangala 6Th Block,Good
99 Variety Dosa and Pav Bhaji,Quick Bites,4.0,101,250.0,Yes,No,"South Indian, North Indian, Street Food","Byresandra,Tavarekere,Madiwala",Hsr,Very nice
99 Variety Dose-Biryanis-Starters,"Takeaway, Delivery",2.8,40,300.0,Yes,No,"South Indian, North Indian, Fast Food, Chinese",Hsr,Hsr,Poor
99Foods,Quick Bites,3.4,32,400.0,No,No,"Biryani, North Indian, Chinese, Kebab",Marathahalli,Marathahalli,Average
9D Foods,Quick Bites,4.0,458,400.0,Yes,No,"North Indian, Street Food",Brookefield,Marathahalli,Very nice
9th Cross Cafe,Cafe,3.6,12,550.0,No,No,"Cafe, Italian, French",Indiranagar,Jeevan Bhima Nagar,Good
A 1 Pizza and Food,Delivery,2.8,211,300.0,Yes,No,"Pizza, Chinese, North Indian",Indiranagar,Old Airport Road,Poor
A Bar,Bar,3.3,19,600.0,No,No,"North Indian, Continental","Byresandra,Tavarekere,Madiwala",Hsr,Average
A Hole Lotta Love Cafe,Cafe,4.3,2871,600.0,Yes,No,"Cafe, American, Burger, Sandwich, Beverages",Koramangala 4Th Block,Koramangala 5Th Block,Very nice
A Little For Love,Bakery,3.4,12,350.0,No,No,Bakery,Kalyan Nagar,Hennur,Average
A M Biryani Hotel,Quick Bites,3.3,6,300.0,Yes,No,"North Indian, Chinese, Biryani, Fast Food",Bannerghatta Road,Bannerghatta Road,Average
A Southern Fair,Casual Dining,3.0,19,750.0,Yes,No,"Biryani, Seafood, South Indian",Whitefield,Whitefield,Average
A Today Thick Shakes,Beverage Shop,3.2,9,200.0,No,No,Beverages,Jayanagar,Koramangala 5Th Block,Average
A.M New Punjab Food Corner,Quick Bites,3.5,21,350.0,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Good
A1 Ambur Dum Biryani And Parota Centre,Quick Bites,3.2,4,300.0,No,No,Biryani,Rajajinagar,Basaveshwara Nagar,Average
A1 Biriyani Point,Quick Bites,3.0,10,200.0,No,No,Biryani,Malleshwaram,Seshadripuram,Average
A1 Garam Masala,Casual Dining,3.6,25,500.0,Yes,No,"North Indian, Andhra, Chinese",Jp Nagar,Kanakapura Road,Good
A1 Hot Dum Biryani,Quick Bites,3.2,4,150.0,No,No,Biryani,Whitefield,Whitefield,Average
A1 Spice Inn,Casual Dining,3.5,46,500.0,No,No,"Biryani, Chinese, Hyderabadi, North Indian, South Indian",Malleshwaram,Yeshwantpur,Good
A2B - Adyar Ananda Bhavan,Casual Dining,2.5,544,400.0,Yes,No,"South Indian, North Indian, Chinese, Street Food, Fast Food",Whitefield,Whitefield,Poor
A2B Veg - Adyar Ananda Bhavan,Casual Dining,2.7,97,400.0,Yes,No,"South Indian, Fast Food, Street Food",Basavanagudi,Basavanagudi,Poor
A3 Nuwang Kitchen,Quick Bites,3.7,42,300.0,Yes,No,"Chinese, North Indian",Indiranagar,Ejipura,Good
Aaccord Restaurant,Casual Dining,2.8,40,600.0,No,No,"Continental, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Poor
Aadhya Hotel,"Casual Dining, Bar",3.3,5,800.0,Yes,No,"South Indian, North Indian, Chinese, Biryani",Banashankari,Basavanagudi,Average
Aadvik Nightfood,Delivery,3.6,22,350.0,Yes,No,Fast Food,Frazer Town,Frazer Town,Good
Aagaman Veg,Casual Dining,2.8,40,900.0,Yes,No,"North Indian, Chinese, South Indian",Electronic City,Electronic City,Poor
Aaha,Quick Bites,3.6,93,300.0,Yes,No,"North Indian, Chinese",Marathahalli,Brookefield,Good
Aaha Andhra,Casual Dining,3.4,58,900.0,No,No,"Andhra, Biryani, North Indian",Marathahalli,Marathahalli,Average
Aahar Vihar,Quick Bites,4.0,68,250.0,Yes,No,North Indian,Brookefield,Marathahalli,Very nice
Aahara Vihar,Quick Bites,3.5,13,300.0,No,No,"South Indian, North Indian, Chinese",Malleshwaram,Malleshwaram,Good
Aaharam,Quick Bites,4.0,65,350.0,No,No,"Chinese, North Indian",Hsr,Koramangala 1St Block,Very nice
Aalishan Restaurant & Caterer,Casual Dining,3.5,888,650.0,Yes,No,"North Indian, Mughlai","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Good
Aami Bangali,Casual Dining,3.0,66,700.0,Yes,No,Bengali,"Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average
Aami Kolkata,Delivery,3.3,5,600.0,No,No,Bengali,Bannerghatta Road,Bannerghatta Road,Average
Aao G Khao G,Quick Bites,3.5,11,200.0,Yes,No,"North Indian, Chinese",Hsr,Hsr,Good
Aapni Rasoi,Quick Bites,3.2,127,400.0,Yes,No,North Indian,Bellandur,Bellandur,Average
Aaranya Restaurant,Casual Dining,3.4,212,800.0,Yes,No,"North Indian, Chinese, Mughlai","Byresandra,Tavarekere,Madiwala",Hsr,Average
Aarti Paratha & Rolls Corner,Quick Bites,3.6,15,200.0,Yes,No,"North Indian, Fast Food",New Bel Road,New Bel Road,Good
Aarya Pork Hotel,Quick Bites,3.3,11,300.0,No,No,"South Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average
Aashirvaad Restaurant,Quick Bites,3.1,249,300.0,Yes,No,"North Indian, Oriya, Chinese",Brookefield,Marathahalli,Average
Aashish Foods,Quick Bites,2.7,35,150.0,Yes,No,North Indian,Brookefield,Brookefield,Poor
Aasife & Brothers Biriyani Centre,Casual Dining,3.8,120,600.0,Yes,No,"Biryani, North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Hsr,Good
Aastha Bengali Mess,Quick Bites,3.9,131,250.0,Yes,No,"Chinese, Bengali",Malleshwaram,Yeshwantpur,Good
Aata's Kitchen,Quick Bites,2.8,40,250.0,Yes,No,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Poor
Aathithya,Casual Dining,3.1,16,1100.0,No,No,"North Indian, Continental, Chinese",Brigade Road,Infantry Road,Average
Aathurar,Casual Dining,3.2,574,600.0,Yes,No,"Chettinad, Biryani, South Indian, Seafood",Indiranagar,Jeevan Bhima Nagar,Average
Abbabi Chicken,Quick Bites,3.7,134,200.0,No,No,Fast Food,Sarjapur Road,Bellandur,Good
Abhiruchi,Casual Dining,3.8,164,650.0,No,No,"Andhra, Seafood, North Indian, Chinese",Kalyan Nagar,Kammanahalli,Good
Abhiruchi Andhra Mess,Mess,3.1,61,300.0,Yes,No,"Andhra, Biryani, South Indian",Whitefield,Whitefield,Average
Abhiruchi Hotel,Casual Dining,3.2,12,500.0,Yes,No,"North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Bommanahalli,Average
Abhiruchi Moonlight,"Takeaway, Delivery",3.3,4,300.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Bommanahalli,Average
Abhiruchi Restaurant,Casual Dining,3.4,5,400.0,Yes,No,"Andhra, North Indian, Chinese",Bellandur,Sarjapur Road,Average
AB's - Absolute Barbecues,Casual Dining,4.6,1502,1400.0,No,Yes,"European, Mediterranean, North Indian, Bbq",Kalyan Nagar,Kalyan Nagar,Very nice
Absolute Chinese,Quick Bites,3.8,209,450.0,Yes,No,"Chinese, Fast Food, Momos",Malleshwaram,Rajajinagar,Good
Absolute Shawarma,"Takeaway, Delivery",2.8,40,150.0,Yes,No,Lebanese,Brookefield,Brookefield,Poor
Absolute Waffles,Dessert Parlor,3.9,49,200.0,Yes,No,"Desserts, Fast Food",Malleshwaram,New Bel Road,Good
Aburrahaman,Delivery,2.8,40,400.0,No,No,"North Indian, South Indian, Chinese",Indiranagar,Thippasandra,Poor
Abzain Paradise,Quick Bites,2.9,42,300.0,No,No,North Indian,New Bel Road,Sanjay Nagar,Poor
Achayyan's,Quick Bites,3.8,405,350.0,Yes,No,"Kerala, South Indian",Indiranagar,Indiranagar,Good
Ackley Kitchen,Quick Bites,3.6,33,500.0,Yes,No,"Fast Food, Continental, Burger",Marathahalli,Kaggadasapura,Good
Adarsh Bakery,Bakery,3.1,10,300.0,No,No,"Bakery, Fast Food",Electronic City,Electronic City,Average
Adda,Quick Bites,3.3,5,300.0,No,No,South Indian,Basavanagudi,Shanti Nagar,Average
Addhuri Udupi Bhojana,Quick Bites,3.7,88,300.0,No,No,"South Indian, North Indian",Banashankari,Banashankari,Good
Adiga's,Quick Bites,3.3,55,150.0,No,No,South Indian,Basavanagudi,Jayanagar,Average
Adi's Cake N Cafe,Bakery,3.3,4,400.0,No,No,Bakery,"Byresandra,Tavarekere,Madiwala",Bannerghatta Road,Average
Adithya,Casual Dining,3.9,178,450.0,Yes,No,"South Indian, North Indian, Chinese",Bannerghatta Road,Jp Nagar,Good
Adithya Family Restaurant,Quick Bites,3.7,27,250.0,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",Btm,Good
Adithya Tiffin Centre,"Takeaway, Delivery",2.8,40,200.0,No,No,North Indian,Brigade Road,Shanti Nagar,Poor
Adithya Veg,Quick Bites,3.3,10,300.0,No,No,"South Indian, Chinese",Basavanagudi,Jayanagar,Average
Aditya Delights,Quick Bites,3.7,59,300.0,No,No,"Chinese, North Indian, Mangalorean",New Bel Road,New Bel Road,Good
Aditya Sweets,Sweet Shop,3.7,21,200.0,Yes,No,"Mithai, Fast Food",Brookefield,Whitefield,Good
Aditya Uphar,Quick Bites,3.5,30,200.0,No,No,"South Indian, Chinese, North Indian",Jp Nagar,Jp Nagar,Good
Adukkala Restaurant,Casual Dining,2.9,128,600.0,Yes,No,Kerala,Kammanahalli,Banaswadi,Poor
Adupadi,Quick Bites,2.9,25,450.0,No,No,"South Indian, Chettinad",Whitefield,Whitefield,Poor
Advika Briyani Center,Delivery,3.2,10,300.0,No,No,Biryani,Jp Nagar,Jp Nagar,Average
Adya Hotel,Quick Bites,3.3,4,400.0,No,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,Average
Adyar Anand Bhavan Sweets,Quick Bites,2.8,40,200.0,No,No,"South Indian, North Indian, Chinese, Street Food",Electronic City,Electronic City,Poor
Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery",3.4,6,200.0,Yes,No,"Mithai, Desserts","Byresandra,Tavarekere,Madiwala",Btm,Average
Adyar Ananda Bhavan Sweets,"Takeaway, Delivery",3.6,4,200.0,Yes,No,"Mithai, Desserts",Jp Nagar,Jp Nagar,Good
Afghani Tandoori Hub,Quick Bites,3.6,14,400.0,Yes,No,"Arabian, Afghan","Byresandra,Tavarekere,Madiwala",Btm,Good
Afoozoo - Ginger Hotel,Casual Dining,3.5,40,800.0,No,No,"North Indian, Chinese",Brookefield,Whitefield,Good
Afrina's Kitchen,"Takeaway, Delivery",3.4,9,250.0,Yes,No,"Fast Food, Desserts",Frazer Town,Kammanahalli,Average
Agarwal Food Service,Delivery,3.5,16,400.0,Yes,No,"North Indian, Chinese, Biryani",Hsr,Hsr,Good
Agent Jack's Bar,Bar,4.0,377,1300.0,No,Yes,"Continental, North Indian, Italian",Kalyan Nagar,Kalyan Nagar,Very nice
Agraharaa,Quick Bites,2.8,40,150.0,No,No,South Indian,Koramangala 4Th Block,Koramangala 6Th Block,Poor
Agraharam Meal,"Takeaway, Delivery",3.7,61,300.0,No,No,"North Indian, South Indian",Marathahalli,Kaggadasapura,Good
Aha Juice Bar,Beverage Shop,3.6,13,200.0,No,No,"Beverages, Fast Food",Bannerghatta Road,Btm,Good
Ahaan Restaurant,Delivery,2.8,76,300.0,Yes,No,"North Indian, Chinese",Frazer Town,Rt Nagar,Poor
AhimsaAmrit Green Cafe,Casual Dining,3.4,9,800.0,No,No,"Healthy Food, Salad, Continental",Indiranagar,Indiranagar,Average
Ahmad's Chicken Hut,Quick Bites,3.2,9,200.0,No,No,"North Indian, Chinese",Kalyan Nagar,Banaswadi,Average
Ahmed's Little Hut,Quick Bites,2.8,40,250.0,Yes,No,Fast Food,Bannerghatta Road,Btm,Poor
Ahmeds Takeaway Restaurant,"Takeaway, Delivery",2.8,40,250.0,No,No,"North Indian, Chinese",Frazer Town,Frazer Town,Poor
Aioli,Casual Dining,4.2,783,1400.0,No,Yes,"Mediterranean, Continental, Italian, Salad",Kalyan Nagar,Kalyan Nagar,Very nice
Airlines Hotel,Quick Bites,4.0,867,400.0,Yes,No,"South Indian, North Indian, Street Food",Brigade Road,Lavelle Road,Very nice
Aishwarya,Dhaba,3.3,6,450.0,No,No,"Chinese, North Indian",Whitefield,Whitefield,Average
Aishwarya Parkland,Casual Dining,2.9,59,500.0,No,No,"Chinese, North Indian",Bannerghatta Road,Bannerghatta Road,Poor
Aishwarya Sweets,Sweet Shop,3.6,24,250.0,Yes,No,"Mithai, Street Food",Malleshwaram,Rajajinagar,Good
Aishwarya Uphar,Quick Bites,2.8,40,150.0,No,No,"South Indian, North Indian",Brigade Road,Ulsoor,Poor
Ajwa Thalassery Biryani,Quick Bites,3.9,42,500.0,Yes,Yes,"Biryani, South Indian",Bellandur,Sarjapur Road,Good
Akkad Bakkad,Casual Dining,3.9,72,600.0,Yes,Yes,"North Indian, Chinese",Electronic City,Electronic City,Good
AKS Family Dhaba And Restaurant,Quick Bites,3.6,40,500.0,Yes,No,"North Indian, Mughlai, South Indian",Marathahalli,Marathahalli,Good
Akshara,Casual Dining,3.8,42,700.0,Yes,No,"North Indian, South Indian, Chinese",Electronic City,Electronic City,Good
Akshatha Nati Style,Quick Bites,3.7,20,500.0,No,No,"South Indian, Chinese, North Indian",Rajajinagar,Vijay Nagar,Good
Akshaya Bar And Restaurant,"Casual Dining, Bar",2.8,40,600.0,Yes,No,"North Indian, South Indian, Chinese, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Poor
AKSHAYA BIRYANI,Quick Bites,3.6,20,300.0,Yes,No,"Biryani, North Indian",Bellandur,Sarjapur Road,Good
Akshaya Deluxe,Casual Dining,4.0,336,500.0,Yes,No,"North Indian, Chinese, Seafood, Biryani",New Bel Road,New Bel Road,Very nice
Akshaya Donne Biriyani,Quick Bites,3.0,39,300.0,Yes,No,"Biryani, South Indian, Kebab",Jp Nagar,Jp Nagar,Average
Akshaya Family Restaurant,Quick Bites,3.2,4,150.0,Yes,No,"South Indian, North Indian",Kalyan Nagar,Banaswadi,Average
Akshaya Grand,Casual Dining,3.4,29,750.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Btm,Average
Akshaya Sambrama Veg Restaurant,Quick Bites,3.2,13,200.0,No,No,"South Indian, Chinese",Church Street,Vasanth Nagar,Average
Akss - India Reimagined,Casual Dining,4.2,258,1800.0,No,Yes,"Modern Indian, North Indian",Malleshwaram,Sadashiv Nagar,Very nice
Al Amal Cafe,"Cafe, Quick Bites",4.0,74,300.0,No,No,"Cafe, Fast Food",Kalyan Nagar,Kammanahalli,Very nice
Al Amanah Cafe,Quick Bites,4.4,1413,300.0,Yes,No,"Middle Eastern, Fast Food, Rolls",Frazer Town,Kammanahalli,Very nice
Al Ameen Rolls Corner,Quick Bites,3.7,16,200.0,No,No,Rolls,Kalyan Nagar,Kammanahalli,Good
Al Barack Cafetaria,Quick Bites,3.6,20,300.0,No,No,Arabian,Kalyan Nagar,Banaswadi,Good
Al Daaz,Casual Dining,4.2,567,550.0,Yes,No,"North Indian, Continental, Bbq",Bellandur,Hsr,Very nice
Al Diwan Biryanis And More,"Takeaway, Delivery",3.2,12,300.0,Yes,No,Biryani,Jayanagar,Basavanagudi,Average
Al Ghani Resetaurant,Quick Bites,3.3,4,400.0,No,No,"Mughlai, Biryani",Kammanahalli,Kammanahalli,Average
Al Habibi Restaurant,Quick Bites,3.5,17,300.0,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Good
Al Hayath,Quick Bites,3.5,16,200.0,No,No,"North Indian, Chinese",Koramangala 5Th Block,Btm,Good
Al Hayath Ambur Biryani,Quick Bites,3.3,9,200.0,No,No,Biryani,Koramangala 4Th Block,Ejipura,Average
Al Khaleej Snacks Corner,Quick Bites,2.8,40,200.0,No,No,"Lebanese, Fast Food, Beverages",Basavanagudi,Jayanagar,Poor
Al Khansah,Casual Dining,3.9,370,550.0,Yes,No,"Biryani, Mughlai, Chinese, North Indian, Kebab",Bellandur,Bellandur,Good
Al Khwaja,Casual Dining,3.0,13,400.0,No,No,"North Indian, Chinese",Bellandur,Bellandur,Average
Al Madhina Roll House,Quick Bites,3.4,6,300.0,No,No,"North Indian, Chinese",Kammanahalli,Kalyan Nagar,Average
Al Madina Family Restaurant,Quick Bites,2.8,40,500.0,No,No,"North Indian, South Indian, Arabian",Basavanagudi,City Market,Poor
Al Madina Roll House,Quick Bites,3.6,16,150.0,Yes,No,Biryani,Kalyan Nagar,Kalyan Nagar,Good
Al Manar,Quick Bites,2.8,40,400.0,No,No,"South Indian, North Indian, Chinese",Koramangala 7Th Block,Wilson Garden,Poor
Al Noor,Quick Bites,3.7,21,350.0,No,No,"North Indian, Chinese, Arabian, Rolls",Brigade Road,Shivajinagar,Good
Al Sadique,Quick Bites,3.9,185,450.0,Yes,No,"North Indian, Mughlai, Chinese, Rolls",Rajajinagar,Magadi Road,Good
Al Sadique Restaurant,Quick Bites,3.4,32,350.0,No,No,"Mughlai, North Indian, Street Food",Mg Road,Frazer Town,Average
